tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,nama_unit,kode_barang,part_number,nama_barang,qty,satuan,biaya,group_desc,class_desc,subclass_desc
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,DUMP TRUCK ISUZU NPS 254-002,330131-010313-0012,MB035281,PIN,2.0,PCS,100000.0,Trailer,Trailer,Trailer
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,DUMP TRUCK ISUZU NPS 254-002,340307-070313-0001,,SRING SET DEPAN,1.0,SET,2860000.0,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,DUMP TRUCK ISUZU NPS 81 254-005,330131-010313-0012,MB035281,PIN,2.0,PCS,100000.0,Trailer,Trailer,Trailer
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,DUMP TRUCK ISUZU NPS 81 254-005,340307-010313-0011,48114-OW010,LEAF SPRING FR. NO.4,1.0,Pcs,250000.0,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,DUMP TRUCK ISUZU NPS 81 254-005,340307-010313-0019,48212-OW010,LEAF SPRING RR. NO.2,1.0,Pcs,415000.0,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,DUMP TRUCK ISUZU NPS 81 254-006,330131-010313-0012,MB035281,PIN,2.0,PCS,100000.0,Trailer,Trailer,Trailer
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,DUMP TRUCK ISUZU NPS 81 254-006,340307-010313-0006,48041-0W010,SHACKLE SUB ASSY,1.0,Pcs,235000.0,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,DIFFENTTIAL & REAR AXLE SYSTEM,DUMP TRUCK HINO 130 HD 4X4 254-007,340307-010305-0106,34-0UN 009 00,PLATE NUT SPINDLE,1.0,PCS,597973.33,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,TRANSMISSION SYSTEM,ARM ROLL HINO 130 HD DA 8589 CQ 271-002,340307-070314-0009,86-BRG 062 09,BEARING,2.0,PCS,340000.0,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,HYDRAULIC SYSTEM,ARM ROLL ISUZU NPS 81 272-001,370502-000300-0320,,"HOSE HYDROLIC 3/4""",2.0,CM,1350000.0,Barang & Alat Bengkel,Barang & Alat Bengkel,Work Shop
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,ARMROLL HINO 136 HDX 272-003,340307-010313-0028,48304-36030,"BUMPER SUB ASSY, FR SPRING",1.0,Pcs,82500.0,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,ARM ROLL HINO 136 HDX 272-005,340307-010213-0001,48147-36441,CENTER BOLT 10MM X 166MM,1.0,PCS,40000.0,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,ARM ROLL HINO 136 HDX 272-005,340307-010313-0015,48201-OW010,LEAF SPRING RR. NO.1,1.0,Pcs,550000.0,Truck /Bus,Truck /Bus,Hino
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,ARM ROLL HINO 136 HDX 272-005,340311-010304-0045,I8-94461 227-4,U BOLT FRT LH,2.0,PCS,66000.0,Truck /Bus,Truck /Bus,Isuzu
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,WHEEL & TYRE SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,330131-010316-0001,MB005396,BEARING INNER 30212,1.0,Pcs,115000.0,Trailer,Trailer,Trailer
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,WHEEL & TYRE SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,330131-010316-0010,MB161137,BEARING OUTER 30211,1.0,Pcs,107700.0,Trailer,Trailer,Trailer
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,WHEEL & TYRE SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,330131-010316-0012,MB161152,OIL SEAL,1.0,Pcs,52500.0,Trailer,Trailer,Trailer
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD5000TA 322-007,331246-020207-0004,3200000034,CF 490 ENGINE FUEL FILTER,1.0,PCS,230000.0,Crawler Dumper,Crawler Dumper,Crown
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD5000TA 322-007,331246-020207-0005,3200000033,CF490 ENGINE OIL FILTER,1.0,PCS,324500.0,Crawler Dumper,Crawler Dumper,Crown
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD5000TA 322-007,331246-020307-0008,3100400032,WATER TANK PIPE,1.0,PCS,420025.0,Crawler Dumper,Crawler Dumper,Crown
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD5000TA 322-007,331246-020307-0009,3100000113,WATER TANK PIPE 1,1.0,PCS,420025.0,Crawler Dumper,Crawler Dumper,Crown
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD5000TA 322-007,331246-020307-0011,3200000737,DOUBLE-LAYER AIR FILTER (INN/OUT),1.0,SET,1479500.0,Crawler Dumper,Crawler Dumper,Crown
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD5000TA 322-007,331246-020311-0006,,HYDRAULIC OIL TANK CAP PD5000TA,1.0,PCS,64152.0,Crawler Dumper,Crawler Dumper,Crown
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ELECTRICAL SYSTEM,CROWN KD 5000 HZL 322-010,331246-020306-0002,10504852900103,ALTERNATOR,1.0,PCS,1975940.0,Crawler Dumper,Crawler Dumper,Crown
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ELECTRICAL SYSTEM,CRAWLER DUMPER PD5000TA 322-015,370502-000300-0006,,AIR ACCU TAMBAH,1.0,Ltr,8500.0,Barang & Alat Bengkel,Barang & Alat Bengkel,Work Shop
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD5000TA 322-015,350201-000200-0024,,ENGINE OIL 15W-40,5.0,LTR,161500.0,Pelumas,Pelumas,Oli
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD5000TA 322-016,350201-000200-0024,,ENGINE OIL 15W-40,4.0,LTR,129200.0,Pelumas,Pelumas,Oli
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,TRANSMISSION SYSTEM,CRAWLER DUMPER PD - 5000TA 322-022,330315-010307-0087,VHSZ91049200-DK,V-BELT ENGINE,2.0,PCS,924050.0,Excavator,Excavator,Kobelco
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,FRAME BODY & GUARD SYSTEM,EXCAVATOR KOBELCO SK200-10 332-020,330315-010309-0003,YN63D00006P2,"GUIDE, TRACK",1.0,PCS,800000.0,Excavator,Excavator,Kobelco
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,EXCAVATOR HITACHI ZX210LC-5G LONGARM 332-030,330308-010307-0121,8981529060,VEE BELT SET,1.0,PCS,646428.57,Excavator,Excavator,Hitachi
