lokasi,bulan,tanggal,account,kode_unit,id_unit,nama_unit,jenis_unit,kategori,kegiatan,remark,jumlah_jam
BUHUT,Aug,2026-08-10,641106233204532 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-045   LAS BOLT CLAMP PIPA,2.0
BUHUT,Aug,2026-08-11,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   GREASING,1.5
BUHUT,Aug,2026-08-11,641106233204531 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,"332-045   GREASING,TAMBAH OLI 10",1.0
BUHUT,Aug,2026-08-11,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-052   GREASING,1.0
BUHUT,Aug,2026-08-11,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-055   GREASING,1.0
BUHUT,Aug,2026-08-11,641106231203632 035,312-036,312036,DUMP TRUCK HINO FM 280 JD 312-036,DT FM 260 JD,AB,WS-PERBAIKAN UNIT,312-036   GANTI HOSE HYD PTO DARI 29,2.0
BUHUT,Aug,2026-08-11,641106233204532 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-045   WELDING SAFETY CABIN,2.0
BUHUT,Aug,2026-08-12,611806004001000 000,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-045   GANTI CYLINDER,GANTI PISTON,RE",17.0
BUHUT,Aug,2026-08-12,641106231202932 035,312-029,312029,DUMP TRUCK HINO FM 280 JD 312-029,DT FM 260 JD,AB,WS-PERBAIKAN UNIT,"312-029   KANIBAL HOSE PTO,TUKAR AKI",6.0
BUHUT,Aug,2026-08-12,641106231203532 025,312-035,312035,DUMP TRUCK HINO FM 280 JD 312-035,DT FM 260 JD,AB,WS-PERBAIKAN UNIT,"312-035   LEPAS HOSE RADIATOR,KANIBAL RA",6.0
