tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,tipe_biaya,nama_unit,biaya,keterangan
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SPAREPART,BULLDOZER CAT D6G DC-11 342-004,630631.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,BULLDOZER KOMATSU D85E 342-018,427928.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX33U-5A 331-002,28378.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX33U-5A 331-002,1261261.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,TRAILER MITSUBISHI FV 419P DA 9119 AT/ DA 8602 CR 311-001,662162.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,TRAILER MITSUBISHI FV 419P DA 9119 AT/ DA 8602 CR 311-001,13514.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SPAREPART,GRADER XCMG GR-135 351-013,90090.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SPAREPART,BULLDOZER KOMATSU D85E 342-018,851351.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX33U-5A 331-002,51351.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SPAREPART,BULLDOZER CAT D6G DC-11 342-004,85586.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,TRUCK TANGKI HINO FG235 DA 8170 CR 262-005,90090.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,TRUCK TANGKI HINO 130 HD DA 8569 CP 262-003,90090.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,TRUCK TANGKI HINO 130 HD DA 8569 CP 262-003,90090.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,TRUCK TANGKI HINO FG235 DA 8170 CR 262-005,90090.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,LAIN-LAIN,BUS ISUZU MINI BUS F 7120 AB/DA 7026 TAJ 231-003,90090.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,LAIN-LAIN,BUS ISUZU MINI BUS F 7120 AB/DA 7026 TAJ 231-003,270270.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-03,Jan,1,BUHUT,MINING,NON RUTIN,HYDRAULIC SYSTEM,SERVICE LUAR,EXCAVATOR HITACHI ZX 210 F-5G 332-039,589178.0,"By. Tagihan pembuatan hose (332-039, 332-045) PT IMA periode Des 2025"
2026-01-03,Jan,1,BUHUT,MINING,NON RUTIN,HYDRAULIC SYSTEM,SERVICE LUAR,EXCAVATOR HITACHI ZX 210 F-5G 332-045,1369681.0,"By. Tagihan pembuatan hose (332-039, 332-045) PT IMA periode Des 2025"
2026-01-05,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,UNDERCARRIAGE SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX210F-5G 332-029,1575000.0,Via Sdr. Ananda Wahyu R.
2026-01-06,Jan,1,TANJUNG,MINING,RUTIN,AIR CONDITIONING SYSTEM,SERVICE LUAR,EXCAVATOR HITACHI ZX350H-5G 332-027,1417000.0,"By. Pembeuatan hose ac untuk unit 332-027, tgl 06 Jan 2026"
2026-01-07,Jan,1,AMPAH,MINING,NON RUTIN,AIR SYSTEM,SPAREPART,DUMP TRUCK HINO FM 260 JD 312-019,150000.0,"By. Pembelian sparepart untuk unit 312-019, tgl 07 Jan 2026"
